Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,logM,0.08,0.16,0.24,0.32,0.4,0.48,0.56,0.64,0.72,0.8,0.88,0.96,1.04,1.12,1.2,1.28,1.36,1.44,1.52,1.6,1.68,1.76,1.84,1.92,2,2.08,2.16,2.24,2.32,2.4,2.48,2.56,2.64,2.72,2.8,2.88,2.96,3.04,3.12,3.2,3.28,3.36,3.44,3.52,3.6,3.68,3.76,3.84,3.92,4,4.08,4.16,4.24,4.32,4.4,4.48,4.56,4.64,4.72,4.8,4.88,4.96,5.04,5.12,5.2,5.28,5.36,5.44,5.52,5.6,5.68,5.76,5.84,5.92,6,6.08,6.16,6.24,6.32,6.4,6.48,6.56,6.64,6.72,6.8,6.88,6.96,7.04,7.12,7.2,7.28,7.36,7.44,7.52,7.6,7.68,7.76,7.84,7.92
ID,VAc-0 in mol/L,tBPP-0 in mol/L,time in s,VAc in mol/L,tBPP in mol/L,conv in %,MMD(logM=0.08),MMD(logM=0.16),MMD(logM=0.24),MMD(logM=0.32),MMD(logM=0.4),MMD(logM=0.48),MMD(logM=0.56),MMD(logM=0.64),MMD(logM=0.72),MMD(logM=0.8),MMD(logM=0.88),MMD(logM=0.96),MMD(logM=1.04),MMD(logM=1.12),MMD(logM=1.2),MMD(logM=1.28),MMD(logM=1.36),MMD(logM=1.44),MMD(logM=1.52),MMD(logM=1.6),MMD(logM=1.68),MMD(logM=1.76),MMD(logM=1.84),MMD(logM=1.92),MMD(logM=2),MMD(logM=2.08),MMD(logM=2.16),MMD(logM=2.24),MMD(logM=2.32),MMD(logM=2.4),MMD(logM=2.48),MMD(logM=2.56),MMD(logM=2.64),MMD(logM=2.72),MMD(logM=2.8),MMD(logM=2.88),MMD(logM=2.96),MMD(logM=3.04),MMD(logM=3.12),MMD(logM=3.2),MMD(logM=3.28),MMD(logM=3.36),MMD(logM=3.44),MMD(logM=3.52),MMD(logM=3.6),MMD(logM=3.68),MMD(logM=3.76),MMD(logM=3.84),MMD(logM=3.92),MMD(logM=4),MMD(logM=4.08),MMD(logM=4.16),MMD(logM=4.24),MMD(logM=4.32),MMD(logM=4.4),MMD(logM=4.48),MMD(logM=4.56),MMD(logM=4.64),MMD(logM=4.72),MMD(logM=4.8),MMD(logM=4.88),MMD(logM=4.96),MMD(logM=5.04),MMD(logM=5.12),MMD(logM=5.2),MMD(logM=5.28),MMD(logM=5.36),MMD(logM=5.44),MMD(logM=5.52),MMD(logM=5.6),MMD(logM=5.68),MMD(logM=5.76),MMD(logM=5.84),MMD(logM=5.92),MMD(logM=6),MMD(logM=6.08),MMD(logM=6.16),MMD(logM=6.24),MMD(logM=6.32),MMD(logM=6.4),MMD(logM=6.48),MMD(logM=6.56),MMD(logM=6.64),MMD(logM=6.72),MMD(logM=6.8),MMD(logM=6.88),MMD(logM=6.96),MMD(logM=7.04),MMD(logM=7.12),MMD(logM=7.2),MMD(logM=7.28),MMD(logM=7.36),MMD(logM=7.44),MMD(logM=7.52),MMD(logM=7.6),MMD(logM=7.68),MMD(logM=7.76),MMD(logM=7.84),MMD(logM=7.92)
2.214-0.01615-1200,2.214,0.01615,1200,1.68365,0.0158419,23.95438121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000133828,0.000241124,0.000126252,0.000153618,0.000225329,0.000325824,0.00044126,0.000633175,0.000871059,0.00123915,0.00177667,0.00254945,0.0036431,0.00513992,0.0072558,0.0102816,0.0145535,0.0206058,0.0291127,0.0410291,0.0571318,0.0792378,0.109578,0.150115,0.20334,0.272127,0.358879,0.46497,0.589186,0.727223,0.871453,1.00838,1.11926,1.18244,1.17864,1.09831,0.947759,0.748364,0.532339,0.336142,0.185518,0.0882792,0.0357211,0.0118,0.00306112,0.000435626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-2400,2.214,0.01615,2400,1.26238,0.0154467,42.98193315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178282,0.000321,0.000167609,0.000203954,0.00029949,0.000433423,0.000586756,0.000841512,0.00115741,0.00164814,0.00235484,0.00337041,0.00482301,0.00679339,0.0095683,0.0135193,0.019067,0.0268978,0.0378349,0.0530189,0.0733547,0.101009,0.138502,0.187696,0.250992,0.330988,0.428812,0.544353,0.67442,0.811229,0.943991,1.05679,1.13045,1.14856,1.10048,0.985308,0.818165,0.624803,0.433184,0.269775,0.149027,0.0718254,0.0297564,0.0102164,0.00279137,0.000510385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-3600,2.214,0.01615,3600,0.937683,0.0150245,57.64756098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000239454,0.000430873,0.00022441,0.000273073,0.000401018,0.000580389,0.000787125,0.00112982,0.0015494,0.00220063,0.00313798,0.004484,0.00640691,0.00899796,0.0126338,0.0177918,0.0249983,0.035103,0.0490776,0.0682792,0.0937088,0.127809,0.173202,0.23151,0.304693,0.394487,0.500518,0.620229,0.747844,0.873473,0.98434,1.06525,1.10113,1.08167,1.00454,0.875564,0.711767,0.536374,0.370236,0.231365,0.129092,0.0632222,0.0267667,0.00939835,0.00263369,0.000508831,6.47394E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-4800,2.214,0.01615,4800,0.695729,0.0145844,68.57592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000322058,0.00057924,0.000301109,0.000366371,0.000537297,0.000776816,0.00105182,0.00150741,0.00206741,0.0029322,0.00417293,0.00595126,0.00848039,0.0118775,0.0166118,0.0232828,0.032531,0.0453899,0.0629707,0.0868107,0.11794,0.158889,0.212131,0.278789,0.359992,0.456093,0.564844,0.681483,0.798418,0.90493,0.989078,1.0392,1.04556,1.00375,0.915982,0.789303,0.638077,0.480676,0.333141,0.209702,0.118074,0.0584577,0.0250599,0.00893949,0.00256237,0.000500487,1.58213E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-6000,2.214,0.01615,6000,0.517064,0.0141356,76.64570912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000431236,0.000775253,0.000402257,0.000489437,0.000717654,0.00103743,0.00140255,0.00200558,0.00274515,0.00388894,0.00552606,0.00784933,0.0111387,0.0155413,0.0216271,0.0301322,0.0418028,0.0578485,0.079475,0.10831,0.145283,0.192811,0.252885,0.325794,0.411557,0.50892,0.61404,0.720816,0.821269,0.906315,0.966681,0.994706,0.984903,0.935408,0.848582,0.729819,0.590611,0.446326,0.310741,0.196618,0.111412,0.0555975,0.0240641,0.00869598,0.00250408,0.000565297,0.000072738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-7200,2.214,0.01615,7200,0.386408,0.013685,82.54706414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000573447,0.00103032,0.000533348,0.000648855,0.000949544,0.00137059,0.00185206,0.00264533,0.00361311,0.00510238,0.00722685,0.0102288,0.0144453,0.0200489,0.0277337,0.0383587,0.0527463,0.0722536,0.0980837,0.131805,0.1741,0.227024,0.291755,0.367583,0.453423,0.546782,0.643127,0.736513,0.820286,0.887921,0.932834,0.949773,0.934505,0.884967,0.802405,0.69082,0.560097,0.424278,0.296428,0.188376,0.107174,0.0537245,0.023358,0.00851684,0.00251544,0.000570882,7.42037E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-8400,2.214,0.01615,8400,0.291733,0.0132375,86.82326107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000753276,0.00135295,0.000699354,0.000850698,0.00124242,0.00179056,0.00241427,0.00343854,0.00468706,0.00659876,0.00930703,0.0131009,0.0183887,0.025369,0.0348394,0.0477669,0.0649823,0.0879165,0.117678,0.155585,0.201891,0.258118,0.324542,0.399649,0.481699,0.567717,0.65361,0.734709,0.80614,0.863289,0.900726,0.913765,0.897879,0.850241,0.771416,0.664976,0.540055,0.409816,0.286969,0.182911,0.104365,0.0524888,0.0229342,0.00840225,0.00250043,0.000572976,7.60552E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.214-0.01615-9600,2.214,0.01615,9600,0.222652,0.012797,89.94345077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000977406,0.00175428,0.000904185,0.00109966,0.00160174,0.00230365,0.00309959,0.00440161,0.00598379,0.00838796,0.0117716,0.0164698,0.022945,0.0314162,0.0427622,0.0580328,0.0780022,0.104038,0.136973,0.177802,0.226383,0.283558,0.34885,0.420472,0.496641,0.574736,0.651771,0.724351,0.788669,0.840826,0.875437,0.887498,0.872185,0.826389,0.75028,0.64731,0.526346,0.399975,0.280508,0.179131,0.102449,0.0516728,0.0226515,0.00831968,0.00248152,0.00057781,7.53087E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
