,AIBN-0,Temperature,BA-0,BA-1,BA-2,BA-3,BA-4,BA-5,BA-6,BA-7,BA-8,BA-9,BA-10,BA-11,BA-12
060-050-025,0.0025,60,0.5,0.486936,0.474398,0.462475,0.451174,0.440398,0.430104,0.420218,0.410828,0.401778,0.393161,0.384878,0.376913
060-050-050,0.005,60,0.5,0.481552,0.464332,0.448293,0.433244,0.419132,0.405863,0.393366,0.381569,0.370444,0.359902,0.349944,0.340494
060-050-075,0.0075,60,0.5,0.477503,0.456797,0.437742,0.420117,0.403769,0.388635,0.37458,0.361404,0.349063,0.337541,0.326723,0.316523
060-050-100,0.01,60,0.5,0.47423,0.450703,0.429353,0.409809,0.391848,0.37529,0.359995,0.345877,0.332768,0.320558,0.309157,0.298486
060-050-125,0.0125,60,0.5,0.471206,0.445396,0.422091,0.400957,0.381657,0.364057,0.347929,0.333121,0.319431,0.306785,0.295028,0.284062
060-050-150,0.015,60,0.5,0.468601,0.440608,0.415608,0.393113,0.372823,0.354365,0.337546,0.322166,0.308031,0.295042,0.28302,0.271891
060-050-175,0.0175,60,0.5,0.466207,0.436278,0.409815,0.386167,0.364988,0.345874,0.328497,0.31269,0.298249,0.285013,0.272824,0.261554
060-050-200,0.02,60,0.5,0.463909,0.432336,0.404491,0.379783,0.35778,0.338044,0.320239,0.3041,0.289423,0.275986,0.263666,0.252311
060-100-025,0.0025,60,1.0,0.953359,0.910414,0.870951,0.83442,0.801083,0.769968,0.741077,0.71429,0.689125,0.665587,0.643517,0.622842
060-100-050,0.005,60,1.0,0.934881,0.877232,0.825825,0.779742,0.738294,0.700741,0.666686,0.635623,0.607196,0.581143,0.557123,0.534897
060-100-075,0.0075,60,1.0,0.921627,0.853127,0.793909,0.741882,0.696002,0.655035,0.618373,0.585488,0.555761,0.528741,0.504042,0.48143
060-100-100,0.01,60,1.0,0.91002,0.833884,0.768716,0.712405,0.663422,0.62036,0.582305,0.548401,0.517973,0.490664,0.465938,0.443474
060-100-125,0.0125,60,1.0,0.900506,0.817488,0.747731,0.688351,0.637203,0.592617,0.553574,0.519063,0.488404,0.461028,0.436333,0.414118
060-100-150,0.015,60,1.0,0.891801,0.803312,0.729832,0.667887,0.61505,0.569464,0.529871,0.495165,0.464424,0.437051,0.41265,0.390651
060-100-175,0.0175,60,1.0,0.883961,0.790235,0.713362,0.649305,0.595218,0.549074,0.509075,0.474235,0.443628,0.41649,0.392379,0.370731
060-100-200,0.02,60,1.0,0.876761,0.778687,0.699258,0.633564,0.578539,0.531787,0.491584,0.456773,0.426319,0.399373,0.375458,0.354063
060-150-025,0.0025,60,1.5,1.40342,1.31704,1.23972,1.1709,1.10852,1.05232,1.0013,0.954314,0.911434,0.872158,0.835896,0.802263
060-150-050,0.005,60,1.5,1.36671,1.25264,1.1554,1.07074,0.997229,0.932527,0.875353,0.824328,0.778383,0.737249,0.699841,0.66597
060-150-075,0.0075,60,1.5,1.33918,1.20676,1.09661,1.00403,0.924686,0.856226,0.796717,0.744502,0.698425,0.657367,0.620563,0.58757
060-150-100,0.01,60,1.5,1.31689,1.17047,1.05118,0.952773,0.870155,0.800009,0.73964,0.687313,0.641482,0.601067,0.565148,0.533052
060-150-125,0.0125,60,1.5,1.29804,1.13969,1.01406,0.911661,0.826823,0.755749,0.695103,0.643153,0.597976,0.558464,0.523494,0.492409
060-150-150,0.015,60,1.5,1.28102,1.11366,0.982517,0.877192,0.791155,0.719477,0.659055,0.607546,0.563105,0.524388,0.490336,0.460248
060-150-175,0.0175,60,1.5,1.26605,1.09096,0.955257,0.847804,0.760764,0.688966,0.62895,0.577947,0.534235,0.49626,0.463021,0.43376
060-150-200,0.02,60,1.5,1.25226,1.06962,0.930708,0.821721,0.734239,0.662586,0.603027,0.552697,0.509646,0.472524,0.440119,0.411673
060-200-025,0.0025,60,2.0,1.83933,1.70044,1.57933,1.47279,1.37894,1.29547,1.22073,1.15363,1.09288,1.03793,0.988012,0.942369
060-200-050,0.005,60,2.0,1.78033,1.59882,1.4489,1.32236,1.21482,1.1224,1.04247,0.972394,0.91039,0.855582,0.806492,0.762448
060-200-075,0.0075,60,2.0,1.73703,1.52863,1.36157,1.22491,1.11145,1.01615,0.934988,0.865168,0.804339,0.751185,0.70409,0.662441
060-200-100,0.01,60,2.0,1.70083,1.4727,1.29452,1.15211,1.036,0.93985,0.85901,0.79027,0.731197,0.679892,0.634936,0.595213
060-200-125,0.0125,60,2.0,1.67026,1.4264,1.23983,1.0939,0.976652,0.880687,0.800865,0.733621,0.676201,0.626736,0.583674,0.545693
