,AIBN-0,Temperature,BA-0,Mn-1,Mn-2,Mn-3,Mn-4,Mn-5,Mn-6,Mn-7,Mn-8,Mn-9,Mn-10,Mn-11,Mn-12,Mw-1,Mw-2,Mw-3,Mw-4,Mw-5,Mw-6,Mw-7,Mw-8,Mw-9,Mw-10,Mw-11,Mw-12
060-050-025,0.0025,60,0.5,59512.9,58759.0,58055.6,57363.6,56696.4,56052.6,55439.6,54865.1,54304.1,53764.4,53245.0,52746.1,29994.2,29600.5,29256.1,28891.5,28539.4,28208.3,27893.3,27587.6,27284.3,26994.9,26712.8,26436.3
060-050-050,0.005,60,0.5,57087.4,56076.2,55065.1,54142.1,53275.4,52439.0,51667.4,50934.2,50249.9,49602.3,48986.1,48403.2,28884.5,28353.1,27849.4,27374.4,26918.1,26473.1,26058.4,25664.5,25286.1,24922.6,24572.8,24239.4
060-050-075,0.0075,60,0.5,55253.9,53988.3,52809.4,51720.2,50724.2,49797.8,48928.5,48120.7,47367.0,46661.3,46003.8,45382.4,28095.7,27429.1,26821.7,26249.3,25717.7,25217.0,24739.3,24284.9,23860.6,23456.9,23074.4,22708.5
060-050-100,0.01,60,0.5,53715.7,52328.7,51005.8,49822.9,48742.9,47728.9,46795.7,45937.4,45141.4,44396.2,43704.2,43058.0,27410.7,26684.2,25998.3,25364.5,24776.2,24220.4,23698.8,23209.4,22749.6,22313.8,21902.3,21512.3
060-050-125,0.0125,60,0.5,52364.1,50867.3,49466.3,48206.0,47043.1,45980.9,45009.8,44116.0,43293.9,42534.0,41826.8,41171.8,26849.2,26037.7,25293.4,24610.4,23972.6,23378.4,22827.3,22309.3,21824.8,21370.5,20939.4,20533.6
060-050-150,0.015,60,0.5,51365.4,49694.6,48173.2,46826.9,45612.1,44507.2,43499.0,42582.2,41739.0,40969.6,40253.5,39596.6,26332.9,25470.3,24669.9,23942.3,23268.0,22647.1,22068.0,21531.8,21027.8,20558.1,20113.4,19698.1
060-050-175,0.0175,60,0.5,50346.9,48556.0,46967.5,45571.6,44315.4,43179.6,42149.9,41211.5,40359.8,39580.8,38865.5,38206.2,25859.3,24947.5,24108.0,23349.8,22651.0,22004.2,21402.3,20844.2,20326.6,19842.7,19390.4,18966.2
060-050-200,0.02,60,0.5,49416.5,47540.3,45898.3,44439.0,43140.3,41978.3,40935.3,39987.6,39129.6,38350.0,37635.3,36979.7,25490.2,24519.2,23629.9,22827.7,22094.7,21424.7,20807.0,20235.6,19705.9,19213.3,18754.3,18324.7
060-100-025,0.0025,60,1.0,128140.0,125384.0,122837.0,120554.0,118367.0,116366.0,114474.0,112726.0,111073.0,109515.0,108064.0,106705.0,64393.5,62952.0,61617.0,60380.3,59209.0,58105.0,57061.0,56074.2,55137.2,54243.3,53400.6,52601.0
060-100-050,0.005,60,1.0,124390.0,120647.0,117246.0,114249.0,111538.0,109079.0,106832.0,104786.0,102915.0,101191.0,99606.0,98129.9,62515.2,60544.2,58746.9,57139.6,55655.1,54273.8,52989.5,51797.6,50689.2,49653.0,48679.0,47760.6
