,BA-0,AIBN-0,Temperature,reaction time
060-050-025,0.5,0.0025,60,96700
060-050-050,0.5,0.005,60,61400
060-050-075,0.5,0.0075,60,47600
060-050-100,0.5,0.01,60,39800
060-050-125,0.5,0.0125,60,34700
060-050-150,0.5,0.015,60,31100
060-050-175,0.5,0.0175,60,28200
060-050-200,0.5,0.02,60,26000
060-100-025,1.0,0.0025,60,49800
060-100-050,1.0,0.005,60,33500
060-100-075,1.0,0.0075,60,26700
060-100-100,1.0,0.01,60,22700
060-100-125,1.0,0.0125,60,20100
060-100-150,1.0,0.015,60,18100
060-100-175,1.0,0.0175,60,16600
060-100-200,1.0,0.02,60,15500
060-150-025,1.5,0.0025,60,34100
060-150-050,1.5,0.005,60,23300
060-150-075,1.5,0.0075,60,18700
060-150-100,1.5,0.01,60,16100
060-150-125,1.5,0.0125,60,14300
060-150-150,1.5,0.015,60,12900
060-150-175,1.5,0.0175,60,11900
060-150-200,1.5,0.02,60,11100
060-200-025,2.0,0.0025,60,26100
060-200-050,2.0,0.005,60,18000
060-200-075,2.0,0.0075,60,14500
060-200-100,2.0,0.01,60,12600
060-200-125,2.0,0.0125,60,11100
060-200-150,2.0,0.015,60,10100
060-200-175,2.0,0.0175,60,9300
060-200-200,2.0,0.02,60,8700
060-250-025,2.5,0.0025,60,21300
060-250-050,2.5,0.005,60,14800
060-250-075,2.5,0.0075,60,12000
060-250-100,2.5,0.01,60,10300
060-250-125,2.5,0.0125,60,9200
060-250-150,2.5,0.015,60,8400
060-250-175,2.5,0.0175,60,7700
060-250-200,2.5,0.02,60,7200
060-300-025,3.0,0.0025,60,18000
060-300-050,3.0,0.005,60,12600
060-300-075,3.0,0.0075,60,10200
060-300-100,3.0,0.01,60,8800
060-300-125,3.0,0.0125,60,7900
060-300-150,3.0,0.015,60,7200
060-300-175,3.0,0.0175,60,6600
060-300-200,3.0,0.02,60,6200
063-050-025,0.5,0.0025,63,78900
063-050-050,0.5,0.005,63,48700
063-050-075,0.5,0.0075,63,37400
063-050-100,0.5,0.01,63,31100
063-050-125,0.5,0.0125,63,27000
063-050-150,0.5,0.015,63,24100
063-050-175,0.5,0.0175,63,21800
063-050-200,0.5,0.02,63,20100
